Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
basic,3,chi2,,,,,0.492,0.999037371283,0.33,"[588, 25243, 3059]"
basic,3,f_classif,,,,,0.491,0.99710774656,0.43,"[588, 11312, 25243]"
tree,3,,,,,,0.48,0.999037371283,14.02,"[25243, 6965, 8579]"
subt,3,chi2,substract,,,,0.511,0.981650310408,0.47,"[8762, 3059, 13251]"
excl,3,chi2,exclude,100,,,0.501,0.999037371283,0.47,"[3059, 9461, 4707]"
excl,3,chi2,exclude,500,,,0.53,0.947881028436,0.41,"[8762, 5653, 13251]"
excl,3,chi2,exclude,1000,,,0.53,0.944043845652,0.5,"[8762, 5653, 13251]"
excl,3,chi2,exclude,5000,,,0.612,0.90453242248,0.4,"[4126, 5632, 4187]"
excl,3,chi2,exclude,10000,,,0.622,0.937268515277,0.49,"[4126, 4187, 15249]"
ea,3,chi2,exclude,5000,10,combined,0.637,0.910319845896,27.82,"[4126, 15249]"
ea,3,chi2,exclude,5000,10,classification,0.639,0.912247459087,12.91,"[4126, 15249]"
ea,3,chi2,exclude,5000,10,clustering,0.641,0.874559039283,10.83,[4187]
ea,3,chi2,exclude,5000,10,distance,0.611,0.898714801954,1.37,[617]
sfs,3,chi2,exclude,5000,10,combined,0.628,0.933417063987,1.01,"[4126, 15249, 3349]"
sfs,3,chi2,exclude,5000,10,classification,0.625,0.924798663355,0.76,"[4126, 15249, 5632]"
sfs,3,chi2,exclude,5000,10,clustering,0.592,0.958538370079,0.75,"[4126, 4187, 25947]"
sfs,3,chi2,exclude,5000,10,distance,0.615,0.899739994943,0.46,"[4126, 3131, 4187]"
