ID,Type,Method,K,Fitness_score,Sick_F1,Time,Features
0,LUAD,basic,3,0.491,0.999,1.44,"[588, 25243, 3059]"
0,THCA,basic,3,0.494,0.999,1.44,"[588, 25243, 3059]"
1,LUAD,tree,3,0.488,0.998,26.15,"[588, 1684, 11970]"
1,THCA,tree,3,0.488,0.998,26.15,"[11312, 14485, 11985]"
2,LUAD,norm,3,0.601,0.902,0.78,"[4126, 5632, 4187]"
2,THCA,norm,3,0.621,0.898,0.78,"[4126, 5632, 4187]"
3,LUAD,ea,3,0.659,0.906,21.54,"[4187, 10600, 27209]"
3,THCA,ea,3,0.698,0.923,21.54,"[15249, 26238, 593]"
4,LUAD,sfs,3,0.648,0.957,13.39,"[4126, 7818, 26238]"
4,THCA,sfs,3,0.677,0.927,13.39,"[4126, 15249, 27318]"
5,LUAD,basic,5,0.475,0.998,1.41,"[588, 25243, 3059, 2038, 12706]"
5,THCA,basic,5,0.494,0.998,1.41,"[588, 25243, 3059, 2038, 12706]"
6,LUAD,tree,5,0.491,0.996,26.08,"[588, 381, 35941, 11983, 11982]"
6,THCA,tree,5,0.515,0.998,26.08,"[9461, 18025, 35941, 11985, 11983]"
7,LUAD,norm,5,0.586,0.979,0.79,"[4126, 5632, 4187, 15249, 617]"
7,THCA,norm,5,0.606,0.977,0.79,"[4126, 5632, 4187, 15249, 617]"
8,LUAD,ea,5,0.62,0.985,25.87,"[1472, 8053, 24751, 6982, 6047]"
8,THCA,ea,5,0.65,0.963,25.87,"[15249, 1472, 8822, 18769, 9729]"
9,LUAD,sfs,5,0.643,0.982,26.61,"[4126, 7818, 23252, 27209, 10981]"
9,THCA,sfs,5,0.664,0.957,26.61,"[4126, 15249, 27318, 12336, 31127]"
10,LUAD,basic,10,0.47,0.999,1.31,"[588, 25243, 3059, 2038, 12706, 15165, 11312, 11041, 5336, 4418]"
10,THCA,basic,10,0.483,0.996,1.31,"[588, 25243, 3059, 2038, 12706, 15165, 11312, 11041, 5336, 4418]"
11,LUAD,tree,10,0.488,0.995,25.89,"[588, 10066, 11977, 11983, 11982, 11981, 11980, 11979, 11978, 35941]"
11,THCA,tree,10,0.489,0.996,25.89,"[588, 1786, 35941, 11983, 11982, 11981, 11980, 11979, 11978, 11977]"
12,LUAD,norm,10,0.572,0.985,0.8,"[4126, 5632, 4187, 15249, 617, 3349, 15737, 3131, 25947, 5933]"
12,THCA,norm,10,0.599,0.981,0.8,"[4126, 5632, 4187, 15249, 617, 3349, 15737, 3131, 25947, 5933]"
13,LUAD,ea,10,0.597,0.966,36.06,"[3131, 10600, 14033, 12155, 35798, 14229, 27318, 16675, 9729, 18013]"
13,THCA,ea,10,0.633,0.985,36.06,"[10981, 12832, 8053, 20935, 24751, 12527, 17993, 22279, 18769, 18013]"
14,LUAD,sfs,10,0.649,0.979,64.48,"[4126, 7818, 23252, 27209, 18873, 26238, 27318, 3349, 31824, 15471]"
14,THCA,sfs,10,0.688,0.965,64.48,"[4126, 15249, 593, 10981, 16675, 31127, 12336, 4101, 17522, 14229]"
15,LUAD,basic,20,0.472,0.994,1.34,"[588, 25243, 3059, 2038, 12706, 15165, 11312, 11041, 5336, 4418, 9461, 8957, 13636, 13390, 629, 4707, 10625, 14478, 12707, 11042]"
15,THCA,basic,20,0.487,0.995,1.34,"[588, 25243, 3059, 2038, 12706, 15165, 11312, 11041, 5336, 4418, 9461, 8957, 13636, 13390, 629, 4707, 10625, 14478, 12707, 11042]"
16,LUAD,tree,20,0.481,0.996,25.99,"[9461, 7779, 35941, 11985, 11983, 11982, 11981, 11980, 11979, 11978, 11977, 11976, 11975, 11974, 11973, 11972, 11971, 11984, 11987, 11986]"
16,THCA,tree,20,0.493,0.999,25.99,"[11312, 18161, 35941, 11985, 11983, 11982, 11981, 11980, 11979, 11978, 11977, 11976, 11975, 11974, 11973, 11972, 11971, 11984, 11986, 12002]"
17,LUAD,norm,20,0.57,0.98,0.76,"[4126, 5632, 4187, 15249, 617, 3349, 15737, 3131, 25947, 5933, 10981, 16583, 12832, 1472, 15547, 31156, 31127, 9043, 32652, 3452]"
17,THCA,norm,20,0.587,0.978,0.76,"[4126, 5632, 4187, 15249, 617, 3349, 15737, 3131, 25947, 5933, 10981, 16583, 12832, 1472, 15547, 31156, 31127, 9043, 32652, 3452]"
18,LUAD,ea,20,0.587,0.978,152.81,"[4187, 3349, 12832, 31824, 12452, 14530, 232, 14033, 18164, 12155, 34126, 18032, 18171, 18013, 27794, 18163, 5368]"
18,THCA,ea,20,0.652,0.976,152.81,"[5632, 3349, 16583, 12832, 31127, 8822, 14033, 18164, 18148, 18142, 28757, 27209, 34126, 4101, 11682, 18769, 26238, 12336]"
19,LUAD,sfs,20,0.652,0.975,154.15,"[4126, 7818, 26238, 15471, 31824, 27209, 6047, 17522, 3349, 18873, 27284, 593, 1472, 27794, 27318, 14530, 24751, 5368, 14229, 232]"
19,THCA,sfs,20,0.674,0.975,154.15,"[4126, 15249, 27318, 16675, 12336, 593, 31127, 4101, 14229, 14530, 5368, 26813, 27794, 1472, 12527, 26238, 9729, 19239, 14033, 232]"
