ID,Type,Method,K,Fitness_score,Sick_F1,Time,Features
0,LUAD,basic,3,0.491,0.999,1.46,"[588, 25243, 3059]"
0,THCA,basic,3,0.494,0.998,1.46,"[588, 25243, 3059]"
1,LUAD,tree,3,0.491,0.996,26.83,"[588, 8342, 11985]"
1,THCA,tree,3,0.489,0.997,26.83,"[588, 269, 35941]"
2,LUAD,norm,3,0.614,0.903,0.84,"[4126, 5632, 4187]"
2,THCA,norm,3,0.621,0.901,0.84,"[4126, 5632, 4187]"
3,LUAD,ea,3,0.64,0.949,12.13,"[1472, 27209, 27318]"
3,THCA,ea,3,0.679,0.956,12.13,"[1472, 14530, 12336]"
4,LUAD,sfs,3,0.647,0.937,15.07,"[4126, 14530, 26238]"
4,THCA,sfs,3,0.678,0.926,15.07,"[4126, 15249, 16675]"
