Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
basic,3,chi2,,,,,0.492,0.999037371283,0.36,"[588, 25243, 3059]"
basic,3,f_classif,,,,,0.492,0.99710774656,0.35,"[588, 11312, 25243]"
basic,3,mutual_info_classif,,,,,0.492,0.99710774656,392.16,"[4098, 5064, 588]"
tree,3,,,,,,0.482,0.999037371283,15.36,"[25243, 6965, 8579]"
basic,6,chi2,,,,,0.479,0.999037371283,0.32,"[588, 25243, 3059, 2038, 15165, 12706]"
basic,6,f_classif,,,,,0.492,0.99710774656,0.35,"[588, 11312, 25243, 13390, 24180, 9461]"
basic,6,mutual_info_classif,,,,,0.49,0.99710774656,382.11,"[4098, 5064, 588, 10890, 6872, 28636]"
tree,6,,,,,,0.479,0.999037371283,14.42,"[25243, 6965, 8579, 10677, 12232, 9959]"
basic,9,chi2,,,,,0.479,0.996145696828,0.3,"[588, 25243, 3059, 2038, 15165, 12706, 8957, 11041, 11312]"
basic,9,f_classif,,,,,0.491,0.996145652155,0.37,"[588, 11312, 25243, 13390, 24180, 9461, 5575, 14478, 6032]"
basic,9,mutual_info_classif,,,,,0.491,0.99710774656,400.45,"[4098, 5064, 588, 10890, 6872, 28636, 12832, 11312, 9182]"
tree,9,,,,,,0.481,0.999037371283,14.7,"[25243, 6965, 8579, 10677, 12232, 9959, 7272, 9338, 28319]"
basic,12,chi2,,,,,0.478,0.996145696828,0.28,"[588, 25243, 3059, 2038, 15165, 12706, 8957, 11041, 11312, 4418, 5336, 9461]"
basic,12,f_classif,,,,,0.491,0.995183602423,0.34,"[588, 11312, 25243, 13390, 24180, 9461, 5575, 14478, 6032, 21564, 10270, 16471]"
basic,12,mutual_info_classif,,,,,0.491,0.996145696828,392.48,"[4098, 5064, 588, 10890, 6872, 28636, 12832, 9182, 11312, 12842, 470, 10479]"
tree,12,,,,,,0.478,0.998075276878,14.74,"[25243, 6965, 8579, 6319, 12232, 9959, 229, 34773, 2530, 19498, 29215, 11980]"
basic,15,chi2,,,,,0.479,0.996145696828,0.28,"[588, 25243, 3059, 2038, 15165, 12706, 8957, 11041, 11312, 4418, 5336, 9461, 4707, 629, 13636]"
basic,15,f_classif,,,,,0.491,0.995183602423,0.34,"[588, 11312, 25243, 13390, 24180, 9461, 5575, 14478, 6032, 21564, 10270, 16471, 5064, 28636, 8845]"
basic,15,mutual_info_classif,,,,,0.492,0.995178067986,392.15,"[4098, 5064, 588, 10890, 6872, 28636, 12832, 9182, 11312, 12842, 470, 10479, 1449, 10270, 9461]"
tree,15,,,,,,0.482,0.998075276878,14.56,"[25243, 6965, 8579, 7238, 12232, 9959, 30031, 34773, 16606, 28029, 32384, 11978, 11977, 11976, 11975]"
basic,18,chi2,,,,,0.479,0.99710774656,0.29,"[588, 25243, 3059, 2038, 15165, 12706, 8957, 11041, 11312, 4418, 5336, 9461, 4707, 629, 13636, 13390, 8762, 10625]"
basic,18,f_classif,,,,,0.491,0.996145696828,0.34,"[588, 11312, 25243, 13390, 24180, 9461, 5575, 14478, 6032, 21564, 10270, 16471, 5064, 28636, 8845, 10625, 9182, 6872]"
basic,18,mutual_info_classif,,,,,0.489,0.995183602423,382.03,"[4098, 5064, 588, 10890, 6872, 28636, 12832, 11312, 9182, 12842, 470, 10479, 1449, 10270, 9461, 5575, 13067, 1814]"
tree,18,,,,,,0.476,0.998075276878,14.21,"[25243, 6965, 8579, 2569, 12232, 9959, 5312, 34773, 27664, 21958, 7696, 11976, 11983, 11978, 11979, 11975, 11974, 11980]"
basic,20,chi2,,,,,0.478,0.998074742566,0.29,"[588, 25243, 3059, 2038, 15165, 12706, 8957, 11041, 11312, 4418, 5336, 9461, 4707, 629, 13636, 13390, 8762, 10625, 11042, 5234]"
basic,20,f_classif,,,,,0.491,0.996145696828,0.34,"[588, 11312, 25243, 13390, 24180, 9461, 5575, 14478, 6032, 21564, 10270, 16471, 5064, 28636, 8845, 10625, 9182, 6872, 4098, 9366]"
basic,20,mutual_info_classif,,,,,0.489,0.995183602423,396.93,"[4098, 5064, 588, 10890, 6872, 28636, 12832, 11312, 9182, 12842, 470, 10479, 1449, 10270, 9461, 5575, 13067, 1814, 4477, 8845]"
tree,20,,,,,,0.476,0.998075276878,14.66,"[25243, 6965, 8579, 8757, 12232, 9959, 2161, 34773, 8264, 2919, 14653, 11975, 11974, 11976, 11973, 11978, 11979, 11980, 11972, 11971]"
