Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
basic,3,chi2,,,,,0.401,0.173900425482,2.75,"[5694, 22356, 17864]"
basic,4,chi2,,,,,0.413,0.200819035241,2.5,"[5694, 22356, 17864, 11357]"
basic,5,chi2,,,,,0.418,0.214837435537,2.53,"[5694, 22356, 17864, 11357, 2991]"
basic,6,chi2,,,,,0.418,0.224251062774,2.51,"[5694, 22356, 17864, 11357, 2991, 8230]"
basic,7,chi2,,,,,0.425,0.233845138868,2.53,"[5694, 22356, 17864, 11357, 2991, 8230, 17302]"
basic,8,chi2,,,,,0.426,0.229960101885,2.65,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026]"
basic,9,chi2,,,,,0.428,0.258414955835,2.57,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854]"
basic,10,chi2,,,,,0.434,0.264823812989,2.59,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499]"
basic,11,chi2,,,,,0.434,0.281470429187,2.57,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499, 10002]"
basic,12,chi2,,,,,0.44,0.277421757798,2.62,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499, 10002, 24334]"
basic,13,chi2,,,,,0.453,0.321291486705,2.61,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499, 10002, 24334, 7396]"
basic,14,chi2,,,,,0.453,0.325612708091,2.64,"[5694, 22356, 17864, 11357, 2991, 8230, 17302, 2026, 854, 6499, 10002, 24334, 7396, 27963]"
subt,3,f_classif,substract,,,,0.464,0.386282645482,5.64,"[27209, 5661, 19429]"
excl,3,f_classif,exclude,5000,,,0.445,0.344918388726,5.13,"[5661, 19429, 2157]"
subt,4,f_classif,substract,,,,0.48,0.430090413532,4.98,"[27209, 5661, 19429, 6018]"
excl,4,f_classif,exclude,5000,,,0.487,0.460941422678,4.74,"[5661, 19429, 2157, 6018]"
subt,5,f_classif,substract,,,,0.493,0.467931985441,5.25,"[27209, 5661, 19429, 6018, 2157]"
excl,5,f_classif,exclude,5000,,,0.49,0.47296229561,4.9,"[5661, 19429, 2157, 6018, 26802]"
subt,6,f_classif,substract,,,,0.51,0.499789410001,5.05,"[27209, 5661, 19429, 6018, 2157, 16055]"
excl,6,f_classif,exclude,5000,,,0.515,0.505608211419,4.88,"[5661, 19429, 2157, 6018, 26802, 16055]"
subt,7,f_classif,substract,,,,0.518,0.529398238099,4.82,"[27209, 5661, 19429, 6018, 2157, 16055, 8704]"
excl,7,f_classif,exclude,5000,,,0.533,0.564071577301,4.87,"[5661, 19429, 2157, 6018, 26802, 16055, 11794]"
subt,8,f_classif,substract,,,,0.515,0.524795143562,4.9,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802]"
excl,8,f_classif,exclude,5000,,,0.564,0.676972363388,4.8,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492]"
subt,9,f_classif,substract,,,,0.539,0.579210575467,5.12,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794]"
excl,9,f_classif,exclude,5000,,,0.566,0.668181905295,5.0,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505]"
subt,10,f_classif,substract,,,,0.544,0.590757146636,4.86,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794, 28505]"
excl,10,f_classif,exclude,5000,,,0.57,0.664921420843,4.98,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505, 3183]"
subt,11,f_classif,substract,,,,0.571,0.683318997439,5.02,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794, 28505, 27492]"
excl,11,f_classif,exclude,5000,,,0.578,0.681744007937,4.81,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505, 3183, 12395]"
subt,12,f_classif,substract,,,,0.573,0.691892873486,4.74,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794, 28505, 27492, 3183]"
excl,12,f_classif,exclude,5000,,,0.574,0.674660741356,5.03,"[5661, 19429, 2157, 6018, 26802, 16055, 11794, 27492, 28505, 3183, 12395, 16356]"
subt,13,f_classif,substract,,,,0.573,0.689507409784,5.06,"[27209, 5661, 19429, 6018, 2157, 16055, 8704, 26802, 11794, 28505, 27492, 3183, 21071]"
