Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
tree,3,,,,,,0.632,0.958493661079,29.43,"[4530, 26499, 17973]"
basic,3,chi2,,,,,0.692,0.994943638442,0.47,"[8704, 18540, 5694]"
tree,4,,,,,,0.648,0.99393413234,29.31,"[17956, 26499, 17973, 18713]"
basic,4,chi2,,,,,0.693,0.994943018907,0.46,"[8704, 18540, 5694, 19757]"
tree,5,,,,,,0.655,0.99797788936,29.42,"[4530, 26499, 17973, 18713, 28038]"
basic,5,chi2,,,,,0.694,0.996967143808,0.46,"[8704, 18540, 5694, 19757, 17864]"
tree,6,,,,,,0.661,1.0,28.73,"[1745, 26499, 17973, 3374, 19254, 18330]"
basic,6,chi2,,,,,0.697,0.996967143808,0.46,"[8704, 18540, 5694, 19757, 17864, 17456]"
tree,7,,,,,,0.647,0.997977269825,29.29,"[1745, 26499, 17973, 3374, 10536, 18330, 23091]"
basic,7,chi2,,,,,0.707,1.0,0.46,"[8704, 18540, 5694, 19757, 17864, 17456, 26555]"
tree,8,,,,,,0.646,0.998989254448,28.05,"[17956, 26499, 17973, 3374, 11292, 18330, 23091, 9202]"
basic,8,chi2,,,,,0.702,1.0,0.45,"[8704, 18540, 5694, 19757, 17864, 17456, 26555, 22356]"
tree,9,,,,,,0.661,0.99797788936,27.89,"[1745, 26499, 17973, 9462, 19041, 18330, 23091, 21287, 21178]"
basic,9,chi2,,,,,0.703,1.0,0.46,"[8704, 18540, 5694, 19757, 17864, 17456, 26555, 22356, 13589]"
tree,10,,,,,,0.671,1.0,29.66,"[4530, 26499, 17973, 6555, 7189, 18330, 23091, 14440, 23055, 10923]"
basic,10,chi2,,,,,0.708,1.0,0.46,"[8704, 18540, 5694, 19757, 17864, 17456, 26555, 22356, 13589, 2026]"
tree,11,,,,,,0.658,0.99797788936,29.13,"[4530, 26499, 17973, 16207, 26969, 18330, 23091, 7600, 14930, 10923, 27996]"
basic,11,chi2,,,,,0.709,1.0,0.45,"[8704, 18540, 5694, 19757, 17864, 17456, 26555, 22356, 13589, 2026, 17302]"
tree,12,,,,,,0.662,0.998988634913,28.91,"[17956, 26499, 17973, 6555, 9900, 18330, 23091, 4688, 8695, 10923, 28628, 11997]"
basic,12,chi2,,,,,0.709,1.0,0.46,"[8704, 18540, 5694, 19757, 17864, 17456, 26555, 22356, 13589, 2026, 17302, 24334]"
tree,13,,,,,,0.66,0.996968227603,30.04,"[4530, 26499, 17973, 18713, 8608, 18330, 23091, 5947, 7074, 10923, 18217, 5123, 22691]"
basic,13,chi2,,,,,0.709,1.0,0.49,"[8704, 18540, 5694, 19757, 17864, 17456, 26555, 22356, 13589, 2026, 17302, 24334, 11357]"
tree,14,,,,,,0.659,0.996966524273,29.43,"[4530, 26499, 17973, 18713, 25122, 18330, 23091, 14440, 3621, 10923, 17173, 22935, 3366, 3947]"
basic,14,chi2,,,,,0.708,1.0,0.47,"[8704, 18540, 5694, 19757, 17864, 17456, 26555, 22356, 13589, 2026, 17302, 24334, 11357, 6499]"
subt,3,chi2,substract,,,,0.716,1.0,0.59,"[26555, 7189, 27492]"
excl,3,chi2,exclude,5000,,,0.715,1.0,0.55,"[26555, 7189, 27492]"
subt,4,chi2,substract,,,,0.713,0.998988634913,0.57,"[26555, 7189, 27492, 19041]"
excl,4,chi2,exclude,5000,,,0.712,1.0,0.55,"[26555, 7189, 27492, 19041]"
subt,5,chi2,substract,,,,0.717,0.998989254448,0.54,"[26555, 7189, 27492, 19041, 28384]"
excl,5,chi2,exclude,5000,,,0.716,0.998989254448,0.56,"[26555, 7189, 27492, 19041, 29648]"
subt,6,chi2,substract,,,,0.712,0.998989254448,0.55,"[26555, 7189, 27492, 19041, 28384, 18452]"
excl,6,chi2,exclude,5000,,,0.714,0.998988634913,0.55,"[26555, 7189, 27492, 19041, 29648, 2028]"
subt,7,chi2,substract,,,,0.713,1.0,0.56,"[26555, 7189, 27492, 19041, 28384, 18452, 27562]"
excl,7,chi2,exclude,5000,,,0.714,1.0,0.58,"[26555, 7189, 27492, 19041, 29648, 2028, 17725]"
subt,8,chi2,substract,,,,0.715,0.996967763343,0.55,"[26555, 7189, 27492, 19041, 28384, 18452, 27562, 29648]"
excl,8,chi2,exclude,5000,,,0.718,1.0,0.59,"[26555, 7189, 27492, 19041, 29648, 2028, 17725, 5598]"
subt,9,chi2,substract,,,,0.717,0.997978508895,0.56,"[26555, 7189, 27492, 19041, 28384, 18452, 27562, 29648, 23438]"
excl,9,chi2,exclude,5000,,,0.722,0.998989254448,0.54,"[26555, 7189, 27492, 19041, 29648, 2028, 17725, 5598, 14006]"
subt,10,chi2,substract,,,,0.71,1.0,0.53,"[26555, 7189, 27492, 19041, 28384, 18452, 27562, 29648, 23438, 2028]"
excl,10,chi2,exclude,5000,,,0.721,0.998989254448,0.55,"[26555, 7189, 27492, 19041, 29648, 2028, 17725, 5598, 14006, 22243]"
subt,11,chi2,substract,,,,0.717,1.0,0.55,"[26555, 7189, 27492, 19041, 28384, 18452, 27562, 29648, 23438, 2028, 17725]"
excl,11,chi2,exclude,5000,,,0.718,0.998988634913,0.54,"[26555, 7189, 27492, 19041, 29648, 2028, 17725, 5598, 14006, 22243, 17529]"
