Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
basic,3,chi2,,,,,0.492,0.999037371283,0.32,"[588, 25243, 3059]"
basic,3,f_classif,,,,,0.492,0.99710774656,0.39,"[588, 11312, 25243]"
tree,3,,,,,,0.48,0.999037371283,14.52,"[25243, 6965, 8579]"
basic,5,chi2,,,,,0.479,0.998070375277,0.32,"[588, 25243, 3059, 2038, 15165]"
basic,5,f_classif,,,,,0.491,0.997108280872,0.38,"[588, 11312, 25243, 13390, 24180]"
tree,5,,,,,,0.48,0.998070375277,14.53,"[25243, 6965, 8579, 24896, 12232]"
basic,10,chi2,,,,,0.476,0.999037371283,0.32,"[588, 25243, 3059, 2038, 15165, 12706, 8957, 11041, 11312, 4418]"
basic,10,f_classif,,,,,0.491,0.995183602423,0.41,"[588, 11312, 25243, 13390, 24180, 9461, 5575, 14478, 6032, 21564]"
tree,10,,,,,,0.476,0.999037371283,14.17,"[25243, 6965, 8579, 2569, 12232, 9959, 12858, 172, 13013, 19205]"
basic,20,chi2,,,,,0.475,0.99710774656,0.3,"[588, 25243, 3059, 2038, 15165, 12706, 8957, 11041, 11312, 4418, 5336, 9461, 4707, 629, 13636, 13390, 8762, 10625, 11042, 5234]"
basic,20,f_classif,,,,,0.491,0.99710774656,0.39,"[588, 11312, 25243, 13390, 24180, 9461, 5575, 14478, 6032, 21564, 10270, 16471, 5064, 28636, 8845, 10625, 9182, 6872, 4098, 9366]"
tree,20,,,,,,0.48,0.999037371283,14.23,"[25243, 6965, 8579, 8803, 12232, 9959, 7575, 9338, 5280, 35479, 1113, 11992, 11982, 11972, 11998, 11973, 11974, 11975, 11976, 11977]"
subt,3,chi2,substract,,,,0.515,0.982629164626,0.38,"[8762, 3059, 13251]"
excl,3,chi2,exclude,100,,,0.501,0.999037371283,0.4,"[3059, 9461, 4707]"
excl,3,chi2,exclude,500,,,0.529,0.946919391477,0.39,"[8762, 5653, 13251]"
excl,3,chi2,exclude,1000,,,0.53,0.943038172408,0.39,"[8762, 5653, 13251]"
excl,3,chi2,exclude,5000,,,0.61,0.904527945803,0.39,"[4126, 5632, 4187]"
